"Token Value","Attribute Name","Attribute Setting","Description","Spec","Request"
"01E5","UART Power Down","On","Prohibit OS from powering down UART","2.002",
"01E6","FSB Optimizations","Off","Turn on/off optimizations for high-bandwidth FSB applications","2.002",
"01E7","FSB Optimizations","On","Turn on/off optimizations for high-bandwidth FSB applications","2.002",
"01E8","MEBx Hotkey","Off","Controls the display of the MEBx hotkey (Ctrl-P) at POST on the sign-on screen.","2.002",
"01E9","MEBx Hotkey","On","Controls the display of the MEBx hotkey (Ctrl-P) at POST on the sign-on screen.","2.002",
"01EA","Core-Based Turbo Mode","Off","Allows one processor core to increase it???s frequency by one bin whenever the other core has gone into an idle state (C3). Only available on certain processors.","2.002",
"01EB","Core-Based Turbo Mode","Enabled","Allows one processor core to increase it???s frequency by one bin whenever the other core has gone into an idle state (C3). Only available on certain processors.","2.002",

"01EC","Flash Cache Module","Disabled","This is a flash-based disk cache technology that works with Vista (and possibly future OS???s) to provide ReadyBoost and ReadyCache functionality.","2.002",
"01ED","Flash Cache Module","Enabled","This is a flash-based disk cache technology that works with Vista (and possibly future OS???s) to provide ReadyBoost and ReadyCache functionality.","2.002",
"01EE","Resume On Pen","Disabled","Control whether a tablet PC will resume from the S3 state when the pen is removed from its retaining well.","2.002",

"01EF","Resume On Pen","Enabled","Control whether a tablet PC will resume from the S3 state when the pen is removed from its retaining well.","2.002",
"01F0","NIC3","Disabled","Disabled","2.002",
"01F1","NIC3","Enabled","Enabled","2.002",
"01F2","NIC3","Enabled with PXE","Enabled with PXE Boot","2.002",
"01F3","NIC3","Enabled with iSCSI Boot","Enabled with iSCSI Boot","2.002",
"01F4","NIC4","Disabled","Disabled","2.002",
"01F5","NIC4","Enabled","Enabled","2.002",
"01F6","NIC4","Enabled with PXE","Enabled with PXE Boot","2.002",
"01F7","NIC4","Enabled with iSCSI Boot","Enabled with iSCSI Boot","2.002",
"01F8","Missing Pen Indication","Disabled","These tokens will be used to control whether a Tablet PC will indicate pen removed out of its retaining well by blinking pen LED.","2.002",
"01F9","Missing Pen Indication","Enabled","These tokens will be used to control whether a Tablet PC will indicate pen removed out of its retaining well by blinking pen LED.","2.002",
"01FA","Tablet Buttons Functionality","Disabled","These tokens will be used to control whether the hardware buttons located on the LCD will be functional or not.","2.002",
"01FB","Tablet Buttons Functionality","Enabled","These tokens will be used to control whether the hardware buttons located on the LCD will be functional or not.","2.002",
"01FC","OS Watchdog Timer","Disabled","This Setup field controls whether an OS can configure a chipset-based timer to reset or shutdown the system","2.002",
"01FD","OS Watchdog Timer","Enabled","This Setup field controls whether an OS can configure a chipset-based timer to reset or shutdown the system","2.002",
"01FE","SATA Controller","QDMA","Enables the SATA controller. Sets the device class code as RAID. This token applies to the first on-board SATA controller.","2.002",
"01FF","SATA Controller Shadow Copy","QDMA","The SATA controller is set to QDMA mode on the previous system boot (from a BIOS perspective) or on the current system boot (from an application perspective). Notes: The notes for token ???SATA Controller Shadow Copy - Combined??? also apply to this token. This token applies to the first on-board SATA controller.","2.002",
"0200","ATG System","Clear","These tokens are used to set/clear the CMOS bit to indicate the system uses an All-Terrain-Gear (ATG) or non-ATG base. The ATG base has WWAN/GPS noise shielding.","2.002",
"0201","ATG System","Set","These tokens are used to set/clear the CMOS bit to indicate the system uses an All-Terrain-Gear (ATG) or non-ATG base. The ATG base has WWAN/GPS noise shielding.","2.002",
"0202","Trusted Execution","Off","Intel Trusted Execution Technology (TxT) ??? new processor execution mode and BIOS hooks to enable a protected execution environment and main memory protection.","2.002",
"0203","Trusted Execution","On","Intel Trusted Execution Technology (TxT) ??? new processor execution mode and BIOS hooks to enable a protected execution environment and main memory protection.","2.002",
"0204","VT for Direct I/O","Off","Intel Virtualization Technology for Direct I/O (VT-d) ??? new chipset feature that enhances I/O support (DMA) when running a Virtual Machine Monitor.","2.002",
"0205","VT for Direct I/O","On","Intel Virtualization Technology for Direct I/O (VT-d) ??? new chipset feature that enhances I/O support (DMA) when running a Virtual Machine Monitor.","2.002",
"0206","Virtual Appliance","Off","Intel Virtual Appliance 3.0 ??? hardened Virtual Appliance support for a system to take advantage of TPM and TxT using an LVMM and a User OS and Service OS.","2.002",
"0207","Virtual Appliance","On","Intel Virtual Appliance 3.0 ??? hardened Virtual Appliance support for a system to take advantage of TPM and TxT using an LVMM and a User OS and Service OS.","2.002",
"0208","VA Config Lock","Unlocked","Intel Virtual Appliance 3.0 Configuration Lock ??? Locks down the VA 3.0 ACPI configuration interface.","2.002",
"0209","VA Config Lock","Locked","Intel Virtual Appliance 3.0 Configuration Lock ??? Locks down the VA 3.0 ACPI configuration interface.","2.002",
"020A","Optional HDD fan","Installed","Optional HDD fan is installed. Enable monitroing and present fan data to Diags.","2.003","112"
"020B","Optional HDD fan","Not Installed","Optional HDD fan is not installed. Disable monitoring and don't present fan date to Diags.","2.003","112"
"020C","Optical Drive Controller","Enabled","This option allows the user to enable/disable a system???s optical drive controller. Currently, we use tokens 0x0003 and 0x0004 for ???IDE CD-ROM Controller??? which specify IDE controller. We have systems now that could have an IDE or a SATA optical drive so we are creating a new token. When these tokens are used, the system BIOS will disable either the IDE or SATA controller depending on which type of drive is present.","2.002",
"020D","Optical Drive Controller","Disabled","This option allows the user to enable/disable a system???s optical drive controller. Currently, we use tokens 0x0003 and 0x0004 for ???IDE CD-ROM Controller??? which specify IDE controller. We have systems now that could have an IDE or a SATA optical drive so we are creating a new token. When these tokens are used, the system BIOS will disable either the IDE or SATA controller depending on which type of drive is present.","2.002",
"020E","Video Memory Size","256MB","These tokens add additional video memory size options to the existing tokens for Video Memory Size (01C6h ??? 01CBh). M08 AMD portable systems offer the user the option of setting video memory size to 32MB, 64MB, 128MB and 256MB. There is currently no token for 256MB and this is needed now. Defining tokens for 512MB and 1GB provide for future flexibility, but are not needed for this generation.","2.002",
"020F","Video Memory Size","512MB","These tokens add additional video memory size options to the existing tokens for Video Memory Size (01C6h ??? 01CBh). M08 AMD portable systems offer the user the option of setting video memory size to 32MB, 64MB, 128MB and 256MB. There is currently no token for 256MB and this is needed now. Defining tokens for 512MB and 1GB provide for future flexibility, but are not needed for this generation.","2.002",
"0210","Video Memory Size","1GB","These tokens add additional video memory size options to the existing tokens for Video Memory Size (01C6h ??? 01CBh). M08 AMD portable systems offer the user the option of setting video memory size to 32MB, 64MB, 128MB and 256MB. There is currently no token for 256MB and this is needed now. Defining tokens for 512MB and 1GB provide for future flexibility, but are not needed for this generation.","2.002",
"0211","Internal USB","Disabled","This field enables/disables the internal USB port being added to 10G servers. Note, this is intended for the nonhypervisor port.","2.002",
"0212","Internal USB","Enabled","This field enables/disables the internal USB port being added to 10G servers. Note, this is intended for the nonhypervisor port.","2.002",
"0213","SD Card","Disabled","This field enables/disables the embedded SD Card port.","2.004","151"
"0214","SD Card","Enabled","This field enables/disables the embedded SD Card port.","2.004","151"
"0215","Internal Floppy","Enabled","This will work in conjunction with tokens 19h, 1Bh, and 1D1h to map to all four settings for the diskette drive setting in desktop BIOS.","2.002",
"0216","Wake on WLAN","Enabled","For M08 platforms, the hardware is changed to allow Wake on LAN and Wake on wireless LAN to be enabled separately. There are two CMOS bits used in M08 to indicate the setting: 0 ??? Off 1 ??? Wake on LAN (WOL) only 2 ??? Wake on WLAN (WOWL) only 3 ??? WOL & WOWL We already have tokens for WOL disable/enable (0x55/0x57), WOL & WOWL enable (0x0198). We need one more token to enable Wake on WLAN only.","2.002",
"0217","VA Physical Presence Confirmation","Off","Turn VA Physical Presence Confirmation off. This will allow a VA install application to make VA configuration changes without rebooting.","2.003","108"
"0218","VA Physical Presence Confirmation","On","Turn VA Physical Presence Confirmation on. This forces the VA install application to reboot the system and for the BIOS to confirm physical presence before making VA configuration changes.","2.003","108"
"0219","AMD Memory Optimizer Technology","Enable","When set to Enabled, the two DRAM controllers operate independently in 64-bit mode and provide optimized performance without Advanced ECC.","2.003","115"
"021A","AMD Memory Optimizer Technology","Disable","When set to Disabled (default), the two DRAM controllers are combined in 128-bit mode and provide optimized reliability with Advanced ECC.","2.003","115"
"021B","Cool and Quiet","Enabled","This setting enables the AMD Cool and Quiet processor feature","2.003","124"
"021C","Cool and Quiet","Disabled","This setting disables the AMD Cool and Quiet processor feature","2.003","124"
"021D","High-Bandwidth Memory Mode","Enabled","Enabling this will defer some CPU to memory cycles, and may write them out-of-order, to enhance performance tuning. Some system configurations may use this to optimize for some applications high-memory bandwidth usage models","2.003","126 [125]"
"021E","High-Bandwidth Memory Mode","Disabled","Disabling would not optimize the performance as memory cycles are not deferred.","2.003","126"
"021F","Power/Performance Management","Static Max Performance","This will set the Max. Performance mode in the system.","2.004","146 [134] [136]"
"0220","Power/Performance Management","Static Min Performance","Lowest system performance mode.","2.004","147 [134] [136]"
"0221","Power/Performance Management","OS/Hypervisor DBPM","Allows OS to change the P state.","2.004","148 [134]"
"0222","Power/Performance Management","Dell DBPM","BIOS based P state control.","2.004","149"
"0223","Power/Performance Management","None","Allows user to fine tune the Power/Performance setting.","2.004","150"
"0224","Embedded video controller","Enabled","The embedded video controller is enabled, and it is the primary video device.","2.004","161"
"0225","Embedded video controller","Disabled","The embedded video controller is disabled.","2.004","161"
"0226","SATA_CTRL_DISABLE","0","Disable all the SATA controllers. The token applies to all SATA controllers.","2.004","165 [164]"
"0227","SATA_CTRL_ENABLE","1","Enable all the SATA controllers. The token applies to all SATA controllers.","2.004","166 [164]"
"0228","Express_Charge","Enabled","Enables using the Express Charge battery charging algorithm.","2.004","169"
"0229","Express_Charge","Disabled","Disables using the Express Charge battery charging algorithm","2.004","169"
"022A","Express_Charge","Once","Enables the system to use the Express Charge algorithm for one charge cycle.","2.004","169"
"022B","MINIMUM_CONFIG","Disabled","Disables the minimum configuration mode. This token is a one-shot deal and is dependent on asset tag equal to PASS:xx/. BIOS should disable this token as soon as the token is no longer needed.","2.004","170"
"022C","MINIMUM_CONFIG","Enabled","Enables the minimum configuration mode. The minimum configuration mode takes effect only when this token is enabled and the asset tag is set to PASS:xx/. For an example minimum configuration implementation the system BIOS could: 1) enable only the first DIMM pair found in the system based on the DIMM population bitmap and automatically disable the minimum configuration mode if there is any DRAM DQS training error, 2) enable only core 0 of each node of a quad-core (or higher) processor.","2.004","170"
"022D","Boot Mode","UEFI","Enables booting to Unified Extensible Firmware Interface (UEFI) capable operating systems","2.004","172"
"022E","Boot Mode","BIOS","Ensures compatibility with operating systems that do not support UEFI","2.004","172"
"022F","Charger","Enable","The default setting. Enable the battery charging system.","2.004","173"
"0230","Charger","Disable","Disable the battery charging system.","2.004","173"
"0231","NUMBER OF CORES PER PROCESSOR","4 Cores","All four cores of the processor are enabled. This is applicable for Quad-core processor only.","2.004","174"
"0232","NUMBER OF CORES PER PROCESSOR","2 Cores","Two cores of the processor are enabled. This is applicable for Quad-core and Dual-core processors.","2.004","174"
"0233","NUMBER OF CORES PER PROCESSOR","1 Core","Single core of the processor is enabled. This is applicable for Quad-core and Dual-Core processors.","2.004","174"
"0234","ASF","DASH and ASF 2.0","If set enables LOM to have DASH and ASF 2.0 functionality.","2.004","177"
"0235","USB PowerShare","Enabled","Enable the USB PowerShare feature.","2.004","179"
"0236","USB PowerShare","Disabled","Disable the USB PowerShare feature.","2.004","179"
"0237","USB PowerShare Battery Capacity Limit","Value","Index into the USB PowerShare remaining battery capacity percentage table. The table contains several pre-defined values representing the percent of total system battery capacity at which charging of an external device attached to the USB PowerShare port will be terminated.","2.004","179"
"0238","Embedded NIC3 and NIC4","Enabled","The BIOS enables the 3rd and 4th NIC during setup. The hardware has a single control line for both NICs.","2.004","180"
"0239","Embedded NIC3 and NIC4","Disabled","The BIOS disables the 3rd and 4th NIC during setup. The hardware has a single control line for both NICs.","2.004","181"
"023A","Bus Ratio","Max","This is the normal/default bus ratio for the CPU.","2.004","186 [183]"
"023B","Bus Ratio","6.0x","Bus ratio of 6.0","2.004","186"
"023C","Bus Ratio","7.0x","Bus ratio of 7.0","2.004","186"
"023D","Bus Ratio","7.5x","Bus ratio of 7.5","2.004","186"
"023E","Bus Ratio","8.0x","Bus ratio of 8.0","2.004","186"
"023F","Bus Ratio","8.5x","Bus ratio of 8.5","2.004","186"
"0240","Bus Ratio","9.0x","Bus ratio of 9.0","2.004","186"
"0241","Bus Ratio","9.5x","Bus ratio of 9.5","2.004","186"
"0242","Bitsmart","Enable","Enable Bitsmart.","2.004","187"
"0243","Bitsmart","Disable","Disable Bitsmart.","2.004","187"
"0244","E-Sata Ports","Enable","Will enable all E-Sata ports. If the system supports a dock, all E-Sata ports to the dock are also enabled.","2.004","188"
"0245","E-Sata Ports","Disable","Will disable all E-Sata ports. If the system supports a dock, all E-Sata ports to the dock are also disabled.","2.004","188"
"0246","Selective USB","Enabled","Enable Selective USB feature to disable all USB ports, except for the 2 Selective USB ports. This option will allow only keyboard / mouse connected to the Selective USB ports for the boot process to continue.","2.005","210 [190]"
"0247","Selective USB","Disabled","Disable Selective USB feature to resume normal USB status and normal boot procedure.","2.005","210 [190]"
"0248","Help Desk","Enabled","If Help Desk is enabled in BIOS setup, 'Ctrl+H Help Desk' hotkey message will show on the post screen if ME is alive and CIRA will be supported.","2.005","191"
"0249","Help Desk","Disabled","If Help Desk is disabled in BIOS setup, 'Ctrl+H Help Desk' hotkey message will not show on the post screen even if ME is alive and CIRA will not be supported.","2.005","191"
"024A","Trusted Platform Module","Activate","Token for remotely activating the TPM dependent on meeting certain security criteria.","2.005","193"
"024B","C States Control","Enabled","When set to Enabled, the processor can operate in all availabe Power C States","2.005","197"
"024C","C States Control","Disabled","When set to Disabled, there are no C states available for the processor","2.005","197"
"024D","Prompt on Error","Enabled","Enabled the BIOS from prompting for F1/F2 on error. BIOS pauses at F1/F2 prompt.","2.005","198"
"024E","Prompt on Error","Disabled","Disables the BIOS from prompting for F1/F2 on error. BIOS continues to boot as if F1 had been pushed.","2.005","198"
"024F","Splash Screen","Enabled","Enables the display of the splash or summary screen, rather than the detail of the POST flow.","2.005","199"
"0250","Splash Screen","Disabled","Disabled the display of the splash or summary screen. The user is able to see the detail of the POST messages.","2.005","199"
"0251","PXE NIC order","PXE NIC 1","The first NIC is used for PXE boot, followed by NIC2.","2.005","200"
"0252","PXE NIC order","PXE NIC 2","The second NIC is used for PXE boot, followed by NIC1.","2.005","200"
"0253","Serial Communication","On with Console Redirection","COM1 or COM2 is enabled and available for use by the Operating System or applications. Console Redirection is Enabled.","2.005","232 [201] [213]"
"0254","Serial Port Address","Serial Device1=COM1,Serial Device2=COM2","By default,set Serial Device 1 port address as COM1=0x3F8 and Serial Device 2 port address as COM2=0x2F8 .","2.005","218 [201] [217]"
"0255","FX100 BIOS Access","On","Allows Remote user to access BIOS Setup via FX100 Portal","2.005","202"
"0256","FX100 BIOS Access","Off","Disables Remote user to access BIOS Setup via FX100 Portal","2.005","202"
"0257","Serial Port Address","Serial Device1=COM2,Serial Device2=COM1","Set Serial Device 1 port address as COM2=0x2F8 and Serial Device 2 port address as COM1=0x3F8.","2.005","218 [203] [217]"
"0258","Serial Port Address","COM1","By default,set Serial Device port address as COM1=0x3F8.","2.005","233 [203] [217]"
"0259","Enable Latitude ON","Enable","Enable booting to Latitude ON","2.005","205 [204]"
"025A","Enable Latitude ON","Disable","Disable booting to Latitude ON","2.005","205"
"025B","Rear Dual USB (2nd stack)","Off","Controls for each stack of USB ports on the rear of Desktop machines.","2.005","206"
"025C","Rear Dual USB (2nd stack)","On","Controls for each stack of USB ports on the rear of desktop machines.","2.005","206"
"025D","Memory Operating Mode","Optimizer Mode","Memory Operating Mode set to support Optimizer","2.005","208"
"025E","Memory Operating Mode","Spare Mode","Memory Operating Mode set to support Sparing","2.005","208"
"025F","Memory Operating Mode","Mirror Mode","Memory Operating Mode set to support Memory mirroring","2.005","208"
"0260","Memory Operating Mode","Advanced ECC Mode","Memory Operating Mode set to support Advanced ECC, i.e. Lockstep","2.005","208"
"0261","Serial Port Address","COM2","Set Serial Device port address as COM2=0x2F8","2.005","233 [217]"
"0262","HDD Protection","On","If setting On, the HDD Protection OPROM will be loaded.","2.005","234"
"0263","HDD Protection","Off","If setting Off, the HDD Protection OPROM will be not loaded.","2.005","234"
"0264","Password Length Restriction","ON","*Special token for Panasonic. 1.Restrict the number of characters in BIOS Password. ( 6 digits ??C 15 digits ) 2.Do not allow user to disable password via setup once it is set","2.005","235"
"0265","Password Length Restriction","OFF","*Special token for Panasonic go back from the special restriction to normal","2.005","235"
"0266","Boot Menu Restriction","ON","*Special token for Panasonic Do not allow user enter Boot menu if there is no Setup or System password","2.005","235"
"0267","Boot Menu Restriction","OFF","*Special token for Panasonic go back from the special restriction to normal","2.005","235"
"0268","Flash Restriction","ON","*Special token for Panasonic Ignore admin password prompt during BIOS flash update","2.005","235"
"0269","Flash Restriction","OFF","*Special token for Panasonic go back from the special restriction to normal","2.005","235"
"026A","HyperTransport Technology","HT 1","Set to support HyperTransport 1 specification.","2.005","236"
"026B","HyperTransport Technology","HT 3","Set to support HyperTransport 3 specification.","2.005","236"
"026C","Alt System Name","ON","Special token for BNPP(BNP Parisbas).BIOS will load an alternate system name to SMBIOS type1"Product Name" field.","2.005","237"
"026D","Alt System Name","OFF","Special token for BNPP(BNP Parisbas).BIOS will not load any alternate system name.","2.005","237"
"026E","Number of Cores per Processor","All","This field controls the number of enabled cores in each processor. By default, the maximum number of cores per processor will be enabled.","2.005","238"
"026F","Number of Cores per Processor","6 Cores","This field controls the number of enabled cores in each processor. By default, the maximum number of cores per processor will be enabled.","2.005","238"
"0270","Number of Cores per Processor","8 Cores","This field controls the number of enabled cores in each processor. By default, the maximum number of cores per processor will be enabled.","2.005","238"
"0271","Number of Cores per Processor","10 Cores","This field controls the number of enabled cores in each processor. By default, the maximum number of cores per processor will be enabled.","2.005","238"
"0272","Number of Cores per Processor","12 Cores","This field controls the number of enabled cores in each processor. By default, the maximum number of cores per processor will be enabled.","2.005","238"
"0273","Internal USB Port 2","Disabled","This field disables the internal USB port 2","2.008","242 [241]"
"0274","Internal USB Port 2","Enabled","This field enables the internal USB port 2",,"242 [241]"
"0275","Internal USB Port 1","Disabled","This field disables the internal USB port 1",,"243 [241]"
"0276","Internal USB Port 1","Enabled","This field Enables the internal USB port 1",,"243 [241]"
"0277","Wireless UWB","Disable","For systems that have a physical ???Wireless On/Off Switch???, switch will have no effect on the state of the UWB radio.",,"244"
"0278","Wireless UWB","Enable","For systems that have a physical ???Wireless On/Off Switch???, switch will turn the UWB radio on and off.",,"244"
"0279","Enable Internal Wireless UWB","Disable","Disable UWB card",,"244"
"027A","Enable Internal Wireless UWB","Enable","Enable UWB card",,"244"
"027B","HT Assist","Disabled","Allow user the ability to disable the Probe Filter chipset option from BIOS setup. There are some applications that may have lower performance with the chipset feature enabled.",,"246"
"027C","HT Assist","Enabled","Allow user the ability to enable the Probe Filter chipset option from BIOS setup. There are some applications that may have lower performance with the chipset feature disabled.",,"246"
"027D","Extended Memory Test Request","Level 1","Request extended memory tests at Level 1 (or low) This token should not be customer visible and is intended for use by diagnostic software",,"247"
"027E","Extended Memory Test Request","Level 5","Request extended memory tests at Level 5 (or medium) This token should not be customer visible and is intended for use by diagnostic software",,"247"
"027F","Extended Memory Test Request","Level 10","Request extended memory tests at Level 10 (or high) This token should not be customer visible and is intended for use by diagnostic software",,"247"
"0280","Extended Memory Test Request","Off","Turn off extended memory tests (default) This token should not be customer visible and is intended for use by diagnostic software",,"247"
"0281","Extended Memory Test Requestor","MDiags","Indicates that the requestor of the extended memory tests is Manufacturing Diags This token should not be customer visible and is intended for use by diagnostic software",,"247"
"0282","Extended Memory Test Requestor","CDiags","Indicates that the requestor of the extended memory tests is Customer Diags This token should not be customer visible and is intended for use by diagnostic software",,"247"
"0283","Extended Memory Tests Executed","Yes","This token is set by the BIOS in POST to indicate that extended memory tests were executed during this boot This token should not be customer visible and is intended for use by diagnostic software",,"247"
"0284","Extended Memory Tests Executed","No","This token indicates that extended memory tests were NOT executed during this boot. This token should not be customer visible and is intended for use by diagnostic software",,"248"
"0285","Camera","Enable","To enable Camera",,"249"
"0286","Camera","Disable","To disable Camera",,"249"
"0287","WxAN Radio","Disable","Disable both WLAN and WWAN",,"250"
"0288","WxAN Radio","WLAN Radio On","Toggle WLAN radio on and WWAN radio off",,"250"
"0289","WxAN Radio","WWAN Radio On","Toggle WWAN radio on and WLAN radio off",,"250"
"028A","Hotkey to toggle WxAN radio","Disable","Disable Hotkey to toggle WxAN radio",,"250"
"028B","Hotkey to toggle WxAN radio","Enable","Enable Hotkey/App to toggle WxAN radio",,"250"
"028C","On Reader","enabled","Enable Latitude/Precision/Optiplex On Reader feature.",,"251"
"028D","On Reader","disabled","Disable Latitude/Precision/Optiplex On Reader feature.",,"251"
"028E","Embedded NIC2","Enabled with RPL boot","Enable the system's secondary embedded network interface controller (full-function),including its RPL boot-ROM.",,"252"
"028F","Embedded NIC2","Enabled with ImageServer boot","These tokens control how the secondary integrated NIC is to be configured and which option ROM to load (if any). This token is for the 'Enabled with ImageServer boot'.Enabled with ImageServer boot will be used in the deployment of Dell's SmartClient products.",,"252"
"0290","Rear Single USB","Off","This feature will allow the users to electrically enable or disable the Rear Single USB ports. If disabled, they are unusable in any OS.",,"253"
"0291","Rear Single USB","On","This feature will allow the users to electrically enable or disable the Rear Single USB ports. If disabled, they are unusable in any OS.",,"253"
"0292","Enable Instant ON","Enable","Enable the Latitude on Instant ON feature.",,"254"
"0293","Enable Instant ON","Disable","Disable the Latitude on Instant ON feature.",,"254"
"0294","Enable Media Card","Enable","Setup is graphical and the represention of the field is a check box. When checked, the media card is enabled and this token is active.",,"256"
"0295","Enable Media Card","Disable","Setup is graphical and the representation of this field is a check box. When un-checked, the media card is disabled and this token is active.",,"256"
"0296","NAND Module","Enabled","Enable the NAND module.",,"265"
"0297","NAND Module","Disabled","Disable the NAND module.",,"265"
"0298","Memory Rank Margining","Enabled","Enables the memory rank margining tool in MRC and makes the data available in a reserved memory region at runtime.",,"260"
"0299","Memory Rank Margining","Disabled","Disables the memory rank margining tool in MRC. No reserved memory region is created and the data is not available at runtime.",,"260"
"029A","eSATA Port","Off","Sets the external Serial ATA port to Off.",,"261"
"029B","eSATA Port","Auto","Sets the external Serial ATA port to Auto.",,"261"
"029C","Wireless Adapter","Disable","Disable the Wireless Adapter.",,"262"
"029D","Wireless Adapter","Enable","Enable the Wireless Adapter.",,"262"
"029E","Log Max Errors during extended memory test","YES","When set to YES, MBIST engine will continue MBIST until the maximum number of errors that can be logged are found.",,"264"
"029F","Log Max Errors during extended memory test","NO","When set to NO, MBIST engine will exit MBIST after the first error is found",,"264"
"02A0","NAND Module","Destroy NAND Partitions","Erase and destroy all partitions on a NAND module.",,"265"
"02A1","C1E","Enabled","The C1-E is enabled by default.",,"267"
"02A2","C1E","Disabled","The C1-E is disabled by user in their own liability. There will be warning message in both the BIOS Setup help text and the pop up message when the option is changing.",,"267"
"02A3","USB 3.0","Enabled","Enable USB 3.0.",,"268"
"02A4","USB 3.0","Disabled","Disable USB 3.0.",,"268"
"02A5","Hard drive free fall protection","Enable","Enable hard drive free fall protection.",,"269"
"02A6","hard drive free fall protection","disable","Disable hard drive free fall protection.",,"269"
"02A7","Strong Password","Enabled","Enforce Strong Password",,"270"
"02A8","Strong Password","Disabled","Do not enforce Strong Password",,"270"
"02A9","DRAM Prefetcher","Disabled","Prevents DRAM references from triggering DRAM prefetch requests",,"271"
"02AA","DRAM Prefetcher","Enabled","Turns on the DRAM prefetch unit in the Northbridge",,"271"
"02AB","Hardware Prefetch Training on Software Prefetch","Disabled","Prevents hardware prefetcher from considering software prefetches when detecting strides for prefetch requests.",,"271"
"02AC","Hardware Prefetch Training on Software Prefetch","Enabled","Hardware prefetcher considers software prefetches when detecting strides for prefetch requests",,"271"
"02AD","SR-IOV Global Enable","Enabled","Enables BIOS support for SRIOV devices.",,"272"
"02AE","SR-IOV Global Enable","Disabled","Disables BIOS support for SRIOV devices.",,"272"
"02AF","Redundant Memory","DIMM Spare","Redundant memory set for DIMM SPARE support",,"273"
"02B0","Redundant Memory","Inter-Node Mirror","Redundant memory set to support Inter-Node Memory mirroring",,"273"
"02B1","Enable Latitude ON Flash","Enable","Enable the ability to boot to the Latitude ON Flash module.",,"274"
"02B2","Enable Latitude ON Flash","Disable","Disable the ability to boot to the Latitude ON Flash module.",,"274"
"02B3","DMA Virtualization","Enabled","When the value of DMA Virtualization is Enabled, hardware capabilities provided for DMA Virtualization are available for use.",,"290 [275]"
"02B4","Express Card","Enabled","This setting will enable the express card port, which allows the user to insert an express card into the slot and it will be configured.",,"278"
"02B5","Express Card","Disabled","This setting will disables the express card port, which will not allow any express card inserted to be configured.",,"278"
"02B6","Memory Operating Voltage","1.5V","Indicates all DIMMs in the system are operating at 1.5 volts",,"280"
"02B7","Memory Operating Voltage","1.35V","Indicates all DIMMs in the system are operating at 1.35 volts",,"280"
"02B8","Memory Operating Voltage","AUTO","This setting indicates the memory operating voltage will be set automatically by the Memory initialization code and depends upon the installed DIMM's capability and the memory configuration of the system. This is the default setting and will set the Memory Operating voltage to the POR voltage.",,"280"
"02B9","Watchdog Timer","Enabled","The system will reboot/reset if the watchdog timer expires",,"282"
"02BA","Watchdog Timer","Disabled","The system will not reboot/reset even if the watchdog timer expires",,"282"
"02BB","MINICARD_SSD_ENABLE","Enabled","Enables the Minicard SSD Module.",,"284"
"02BC","MINICARD_SSD_DISABLE","Disabled","Disables the Minicard SSD Module.",,"284"
"02BD","Admin Setup Lockout","Enabled","When the value of Admin Setup Lockout is Enabled and the Admin Password is set, users will not be allowed to see any part of the Setup screens unless they enter the correct Admin Password. When the Admin password is NOT set and Admin Setup Lockout is Enabled, users will be able to access Setup normally.",,"285"
"02BE","Admin Setup Lockout","Disabled","When the value of Admin Setup Lockout is Disabled and the Admin Password is or is not set, users will be allowed to enter Setup normally. However, many fields may still be inaccessible, depending on how other Setup security settings are configured.",,"285"
"02BF","Activity LED","Enable ACPI OS Control","This selection will allow the Activity LED to be controlled by an ACPI OS and driver.",,"286"
"02C0","Activity LED","Wireless LAN Indicator","This selection will logically connect the Activity LED to WLAN LED output.",,"286"
"02C1","Activity LED","Off","This selection will force the Activity LED to be always OFF.",,"286"
"02C2","SurroundView","Enable","This feature will allow user to enable SurroundView that allow user to use an additional AMD PCIE video card in conjunction with the onboard graphics card which would give you ability to use mutiple monitors at once. Notes: it's only for AMD platform.",,"288"
"02C3","SurroundView","Disable","This feature will allow user to disable SurroundView that disable mutiple monitor support with additional AMD PCIE video card. Notes: it's only for AMD platform.",,"288"
"02C4","DMA Virtualization","Disabled","When the value of DMA Virtualization is Disabled, hardware capabilities provided for DMA Virtualization are unavailable for use.",,"290"
"02C5","DCU Streamer Prefetcher","Enabled","This field enables (Default) the DCU Streamer Prefetcher",,"292"
"02C6","DCU Streamer Prefetcher","Disabled","This field disables the DCU Streamer Prefetcher",,"292"
"02C7","Data Reuse","Enabled","Set it to Enabled (Default) for HPC applications.",,"292"
"02C8","Data Reuse","Disabled","Set it to Disabled for energy efficiency.",,"292"
"02C9","Intel(R) QPI Bandwidth Priority","Compute","Set it to Compute (Default) for computation-intensive applications",,"292"
"02CA","Intel(R) QPI Bandwidth Priority","I/O","Set it to I/O for I/O-intensive applications.",,"292"
"02CB","MSR 13C","Enable","Enable the MSR 13C feature and lock from future modification",,"315"
"02CC","MSR 13C","Disable","Disable the MSR 13C feature and lock from future modification",,"315"
"02CD","Clear GPE Ownership","Clear GPE Ownership","This token will signal to BIOS on the subsequent reboot to clear GPE card ownership.",,"317"
"02D3","Intel(R) AES-NI","Enabled","This option enables Intel(R) AES new instructions.",,"316"
"02D4","Intel(R) AES-NI","Disabled","This option disables Intel(R) AES new instructions.",,"316"
